id,title,date,content,summary
80393,Pramono Janji Bangun Jalur Roadbike Keliling Bandara Soetta,"Rabu, 30 Okt 2024 22:59 WIB","Cagub DKI Jakarta nomor urut 3, Pramono Anung berjanji akan membangun jalur khusus roadbike di Jakarta. Rencananya ia akan membangun jalur tersebut mengelilingi Bandara Soekarno-Hatta. Pada awalnya, Pramono membedakan antara pengendara sepeda lipat dan roadbike. Menurutnya jalur sepeda yang sudah ada diperuntukkan untuk pengendara sepeda lipat atau sepeda santai. ""Jadi yang pertama,bagi pesepeda itu sebenarnya ada berbagai klasifikasi.Ada yang pakai sepeda lipat,ada yang pesepeda santai,ada yang roadbike,"" ujarnya pada acara 'Deklarasi Relawan Pramono Rano' di Menteng, Jakarta Pusat, Rabu (30/10/2024).  ""Jalur yang sudah dibuat oleh Pemerintah DKI akan kami lanjutkanterutama bagi teman-teman yang akan menggunakan sepeda lipat atau sepeda santai,"" katanya. Pramono berkaca pada jalur sepeda yang ada di Bangkok dan Korea Selatan. Ia ingin mencontoh kedua negara teraebut yang punya jalur sepeda mengelilingi bandara. ""Tetapi bagi roadbike,saya memikirkan pengalaman di Bangkok, di Korea. Mereka dibuat mengelilingi airport.Kebayang kalau kemudian kita buatkan keliling airport Soekarno-Hatta,maka itu akan menjadi tempat yang betul-betul bagi roadbike sehingga ada tempat baru,"" ucapnya. ""Pokoknya tadi yang saya sampaikankalau memang jadi rezeki kami(menang pilgub), memang harus ada inovasi terutama bagi yang penggemar roadbikeyang ingin tracknya panjang seperti di Bangkok dan Korea,"" pungkasnya.",
70784,Peneliti IPC Sebut DPR Periode 2019-2024 Tidak Layak Mendapatkan Penghargaan,30 September 2024 | 23.17 WIB,"Baca berita dengan sedikit iklan,  klik di sini  TEMPO.CO, Jakarta - Peneliti Indonesian Parliamentary Center (IPC), Chorisatun Nikmah, mengkritik keputusan DPR memberikan penghargaan tanda jasa kehormatan bagi anggota legislatif periode 2019-2024. Selain minim kinerja legislasi dan gagal menjalankan fungsi pengawasan, Chorisatun dalam risetnya menemukan sederet pelanggaran etik oleh anggota DPR sepanjang lima tahun terakhir.  Baca berita dengan sedikit iklan,  klik di sini  Berdasarkan data yang dihimpun Chorisatun dari Majelis Kehormatan Dewan (MKD), tercatat ada 22 laporan terkait dengan pelanggaran etik anggota DPR. Namun demikian, dia mengatakan MKD hanya menindaklanjuti 22,7 persen atau 8 laporan pelanggaran etik.  Scroll ke bawah untuk melanjutkan membaca   Baca berita dengan sedikit iklan,  klik di sini  ""Dalam praktiknya MKD sebagai aktor penegak etik yang bertujuan menjaga dan menegakkan kehormatan dan martabat lembaga tidak dapat bertindak tegas dalam menangani laporan,"" kata Chorisatun saat menyampaikan hasil risetnya di kawasan Cikini, Jakarta, Senin, 30 September. Bila diklasifikasikan berdasarkan fraksi, pelanggaran etik paling banyak dilakukan oleh anggota DPR dari PDI Perjuangan yakni sebanyak 27 persen. Lalu disusul anggota DPR dari Partai Gerindra sebesar 23 persen, dari Partai Keadilan Sejahtera sebesar 14 persen, PKB dan Golkar masing-masing 9 persen.  ""Dan cukup disayangkan sejumlah nama yang dilaporkan terkait pelanggaran etik pernah mendapatkan award dari MKD bagi mereka yang dinilai punya kinerja bagus,"" katanya. Selain minimnya tindakan terhadap anggota DPR yang melanggar etik, MKD juga lamban dalam penanganan aduan. Chorisatun mencontohkan apa yang terjadi pada anggota DPR dari Fraksi Golkar. ""Dalam kasus ini malah KPK lebih dulu menetapkannya sebagai tersangka, namun MKD belum juga bertindak,"" katanya. Selain pelanggaran etik terkait kasus huku, Chroisatun menyebutkan rata-rata laporan yang masuk ke MKD yakni terkait penyalahgunaan kewenangan. ""Misalnya ada laporan bahwa anggota DPR memanfaatkan jabatannya untuk kemudahan akses terhadap kepentingan pribadi,"" ujar Chorisatun. Menurut Analis Politik dari Exposit Strategic, Arif Susanto, maraknya pelanggaran etik dan buruknya kinerja DPR tak menyurutkan niat DPR memberikan penghargaan bagi seluruh anggotanya.  Arif mengatakan, berdasarkan catatan Komisi Pemberantasan Korupsi (KPK) pada tahun 2019, 60 persen dari total kasus yang ditangani lembaga antirasuah terkait dengan korupsi politik yang melibatkan anggota DPR.  Tindakan DPR memberikan penghargaan kepada dirinya sendiri tersebut bertolak belakang dengan buruknya proses legislasi. Sepanjang 2019-2024, Arif mengatakan sejumlah Rancangan Undang-undang dikebut tanpa melibatkan partisipasi publik. ""Bila mengacu pada proses pembentukan undang-undang, ini jelas telah melanggar. Bahwa partisipasi publik merupakan aspek yang wajib dipenuhi namun malah dilanggar,"" katanya. Kendati banjir kritik terkait penghargaan tersebut, Ketua DPR Puan Maharani mengklaim selama di bawah kepemimpinannya, DPR mengalami peningkatan kinerja dan citra di tengah masyarakat. Kami mengapresiasi kalau kemudian dalam kinerja DPR selama lima tahun ini ada peningkatan kinerja dan citra. Kami secara bergotong-royong di DPR dan diapresiasi oleh masyarakat,"" kata Puan kepada awak media di kompleks gedung DPR, Jumat, 27 September 2024. Kendati demikian, Puan mengatakan kinerja DPR dalam lima tahun terakhir tidak semuanya baik. Dia mengatakan masih ada sejumlah kekurangan-kekurangan yang mesti diperbaiki. ""Di periode yang akan datang lembaga DPR ini harus memperbaiki dirinya secara bergotong-royong karena ini adalah lembaga yang menjalankan tugas dan fungsinya secara kolektif kolegial,"" ujarnya. Pilihan Editor: Puan Maharani Minta Maaf dan Menangis saat Pimpin Rapat Paripurna Terakhir",
70563,"7 Ciri Meterai Palsu, Ini Perbedaannya dengan yang Asli","Kamis, 13 Mar 2025 22:00 WIB","Dalam hal pengurusan kependudukan, meterai dapat digunakan pada surat kuasa (surat yang akan dibutuhkan jika warga tidak dapat melakukan pengurusan kependudukan yang tidak bisa dihadiri diri sendiri dan harus digantikan oleh seseorang lain). Biasanya, yang digunakan adalah meterai tempel. Perlu diketahui, menggunakan meterai palsu merupakan tindak pidana yang merugikan negara dan dokumen yang ditempelkan label tersebut menjadi tidak sah. Ini ciri-ciri meterai palsu. Berdasarkan informasi dari Dukcapil Jakarta, berikut ciri-ciri meterai palsu yang wajib diwaspadai agar pembeli tidak mudah tertipu.  Lalu, bagaimana dengan ciri-ciri meterai tempel yang asli? Dikutip dari unggahan Instagram Pos Indonesia, ini ciri-ciri meterai tempel asli. Meterai tempel adalah bukti pembayaran pajak atas dokumen tertentu. Meterai tempel berbentuk tempelan kertas yang berfungsi untuk pengesahan berbagai dokumen penting, seperti perjanjian, akta, dan kontrak. Meterai tempel saat ini bernilai Rp 10.000 dan wajib digunakan pada dokumen yang memiliki nilai tertentu sesuai dengan ketentuan undang-undang dan penggunaan meterai tempel bersifat sah di mata hukum. Meterai tempel asli bisa dibeli di kantor pos terdekat. Selain itu, meterai tempel juga dapat diperoleh melalui Aplikasi Pospay, Agenpos, dan Warung Meterai resmi. Membeli meterai di tempat-tempat resmi akan melindungi masyarakat dari meterai palsu serta memastikan dokumen tetap sah dan diakui secara hukum.  Lihat juga Video 'Peruri Minta Maaf, Ungkap Alasan Sistem e-Meterai Tak Bisa Diakses': [Gambas:Video 20detik] ",
23206,Penyidik KPK Dihalangi Eks Penyidik Saat Buru Harun Masiku di PTIK,9 Mei 2025," JAKARTA, KOMPAS.com - Penyidik Komisi Pemberantasan Korupsi (KPK) Rossa Purbo Bekti mengungkapkan bahwa pihaknya dihalangi oleh beberapa mantan penyidik KPK ketika memburu Harun Masiku di kompleks Perguruan Tinggi Ilmu Kepolisian (PTIK), 2020 lalu. Keterangan ini disampaikan Rossa saat dihadirkan sebagai saksi dalam sidang dugaan suap Harun Masiku dan perintangan penyidikan di Pengadilan Tipikor Jakarta Pusat, Jumat (9/5/2025). Rossa menuturkan, pada 8 Januari 2020, penyelidik dan penyidik KPK yang memburu Harun dan Hasto bertemu di PTIK karena hasil pemantauan alat sadap menunjukkan keduanya diduga bersembunyi di lokasi tersebut. Namun, tim yang menggelar operasi tangkap tangan (OTT) itu dihalang-halangi oleh sejumlah polisi yang juga merupakan mantan penyidik KPK, salah satunya adalah AKBP Hendi Kurniawan. Mereka dihampiri dan ditahan setelah melaksanakan shalat isya di masjid PTIK. “Pada saat itu kami diminta handphone oleh beberapa orang yang juga merupakan mantan penyidik KPK, salah satunya,” ujar Rossa. Tim penyelidik dan penyidik KPK diinterogasi berulang-ulang dan digeledah secara paksa oleh kawanan Hendi tanpa surat perintah penggeledahan. “Kemudian juga setelah itu kami dilakukan tes urine. Saat itu kami sempat menolak apa tujuannya tes tersebut, karena kami juga tidak dalam posisi di tempat hiburan,” tutur Rossa.  “Tapi kami untuk membuktikan bahwa posisinya tidak terlibat narkoba, kami bersedia,” imbuh dia. Kawanan Hendi baru melepas mereka pada subuh keesokan harinya setelah dijemput Direktur Penyidikan KPK Panca Putra Simanjuntak. Dalam perkara ini, Hasto didakwa memberikan suap kepada anggota KPU Wahyu Setiawan agar Harun Masiku menjadi anggota DPR lewat mekanisme pergantian antarwaktu. Hasto juga didakwa merintangi penyidikan terhadap Harun Masiku yang berstatus buron sejak 2020.",
18980,Andra Soni: Salah Satu yang Perlambat Pembangunan Banten Itu Korupsi,"Senin, 19 Agu 2024 22:59 WIB","Bakal Calon Gubernur Banten Andra Soni menyoroti ketimpangan yang terjadi di wilayah kota dan kabupaten Provinsi Banten. Andra menyampaikan kondisi tersebut menjadi perhatiannya jika terpilih menjadi Gubernur Banten mendatang. Andra awalnya menyoroti pembangunan infrastruktur Kota Tangerang Selatan dan Tangerang yang banyak dibangun swasta. Sementara di Kabupaten Lebak dan Pandeglang, infrastruktur lebih jauh tertinggal. Namun, dia menilai ketimpangan tak bisa menjadi tolok ukur kinerja ataupun prestasi masing-masing bupati maupun wali kota.  ""Kalau kita bicara IPM Banten secara rata-rata di atas nasional, karena menghitung semua kabupaten kota, pas kita zoom jauh Pak Disparitasnya, ketimpangannya. Ini kalau seandainya mengukur prestasi Walkot, Bupati, Bupatinya aja yang nggak bisa kerja. Saya pikir itu nggak fair kalau kita bilang Bupati Pandeglang, Bupati Lebak nggak berprestasi,"" kata Andra dalam program Blak-blakan detikcom yang ditayangkan Senin (19/8/2024). Andra lantas menekankan pentingnya pemerataan di seluruh wilayah Banten. Tak hanya itu, dia juga mendorong agar pemerintah pusat membantu mengatasi masalah ketimpangan di Banten. ""Apa yang harus dilakukan? Pemerataannya, lebih perhatian kita kepada Lebak atau Pandeglang atau wilayah lain yang secara fiskal tertinggal,"" ujarnya. ""Kita bicara Banten, selamat datang di Indonesia kan di Banten. Soetta di Banten. Kalau seandainya Banten belum oke, gimana bilang Indonesia bagus? Jadi semangat yang ada di Pak Prabowo di usia 100 tahun kemerdekaan Indonesia ini Banten harus maju,"" sambungnya. Andra juga menilai keterlambatan pembangunan di Provinsi Banten juga disebabkan oleh praktik korupsi. Sebab, dengan jumlah APBD per tahun yang cukup besar semestinya bisa menyelesaikan berbagai permasalahan di Banten. ""Ini salah satu yang memperlambat pembangunan Provinsi Banten itu korupsi karena dari segi fiskal secara keseluruhan itu lebih besar, Rp 12 T setahun APBD-nya. Menurut saya itu besar, memang dibandingkan DKI jauh tapi (cukup) besar, artinya yang punya masyarakat di kabupaten kota bukan provinsi. Provinsi yang punya uang segitu harusnya bisa selesaikan bertahap kendala yang dihadapi,"" tegasnya. Andra memandang seorang gubernur tak harus menguasai semua bidang. Namun, harus sejalan dengan SKPD. Jika nantinya terpilih menjadi gubernur, Andra ingin selama 5 tahun ke depan bisa mengurangi angka pengangguran maupun kemiskinan di Banten. ""Gimana di masa kepemimpinan ini kita bisa kurangi angka kemiskinan, pengangguran dan stunting. Ujungnya saya akan jaga diri saya nggak akan lakukan korupsi karena itu sama aja saya khianati cita-cita hidup selama saya kecil,"" ucapnya. Andra mengaku tak pernah berniat menjadi gubernur maupun wagub. Namun, ia menganggap ini sebagai tugas dari Ketum Gerindra Prabowo Subianto. ""Saya tidak pernah persiapkan diri jadi gubernur, cuman karena Gerindra ingin kadernya ada di pemerintahan daerah, maka saya dengan posisi Ketua DPRD, Ketua partai, mungkin bentuk penghargaan kepada saya sebagai kader partai maka disiapkan,"" jelasnya. ""Saya menerjemahkan ini sebagai tugas karena Pak Prabowo selalu kalau kita diberi materi pembekalan selalu tiga bekal yang diomongi, kalian kalo dapat mandat dari rakyat harus buat masyrakat cerdas, harus buat masyarakat sehat, harus buat masyarakat makmur. Saya terjemahkan IPM,"" imbuhnya. Andra Soni yang juga Ketua DPRD Banten, kini telah mendapatkan dukungan dari 10 partai politik dan membentuk 'Koalisi Banten Maju' dalam Pilgub Banten mendatang. Dirinya berpasangan dengan Ahmad Dimyati Natakusumah.",
53064,KPK: Korupsi di Bank BJB Terkait Belanja Iklan,11 Maret 2025 | 19.15 WIB,"Kantor pusat Bank Pembangunan Daerah Jawa Barat dan Banten (BJB) di Bandung, Jawa Barat, 11 Maret 2025. Komisi Pemberantasan Korupsi mengusut dugaan korupsi belanja iklan Bank BJB sebesar Rp 341 miliar. Tempo/Prima Mulia Kantor pusat Bank Pembangunan Daerah Jawa Barat dan Banten di Bandung, Jawa Barat, 11 Maret 2025. Tempo/Prima Mulia Kantor cabang utama Bank Pembangunan Daerah Jawa Barat dan Banten di Bandung, Jawa Barat, 11 Maret 2025. Tempo/Prima Mulia Kantor cabang utama Bank Pembangunan Daerah Jawa Barat dan Banten di Bandung, Jawa Barat, 11 Maret 2025. Tempo/Prima Mulia Kantor cabang utama Bank Pembangunan Daerah Jawa Barat dan Banten di Bandung, Jawa Barat, 11 Maret 2025. Tempo/Prima Mulia Kantor cabang utama Bank Pembangunan Daerah Jawa Barat dan Banten di Bandung, Jawa Barat, 11 Maret 2025. Tempo/Prima Mulia",
63089,"Pemerintah Diam-diam Rapat Bareng DPR soal Revisi UU TNI, Ada yang Diperbaiki",19 Maret 2025," JAKARTA, KOMPAS.com - Menteri Hukum Supratman Andi Agtas, Wamenhan Donny, dan Wamensesneg Bambang Eko Suhariyanto mengadakan rapat bersama jajaran Komisi I DPR terkait Revisi UU (RUU) TNI yang akan disahkan pada Kamis (20/3/2025) besok. Agtas menyebutkan bahwa ada perbaikan yang mereka lakukan. Perbaikan itu dilakukan demi memenuhi tuntutan mahasiswa yang khawatir dwifungsi ABRI bisa hidup kembali. Adapun pemberitahuan rapat ini tidak dipublikasi ke media. Rapat digelar secara tertutup pada sore hari hingga maghrib. Namun, tampak pula sejumlah pimpinan dan anggota Komisi I DPR, mulai dari Utut Adianto, Dave Laksono, Nurul Arifin, Rizki Natakusumah, hingga Budi Djiwandono. ""Enggak ada, cuma perbaikan soal apa ya...Untuk memastikan apa yang menjadi tuntutan adik-adik mahasiswa terkait dengan kekhawatiran akan terjadinya dwifungsi ABRI atau dwifungsi TNI itu sama sekali sesuatu yang tidak perlu dikhawatirkan. Karena semua yang dibahas di dalam itu adalah terkait dengan tugas-tugas pertahanan TNI,"" ujar Agtas, di Gedung DPR, Senayan, Jakarta, Rabu (19/3/2025) malam. ""Yang kedua, menyangkut soal pensiun ya kan. Karena sekarang bukan hanya PNS saja yang sipil, sekarang pensiunnya sudah 60 tahun. Nah, karena itu tidak adil kalau kemudian bagi perwira, terutama perwira tinggi yang kita cetak dengan begitu luar biasa, kemudian mereka harus pensiun di umur 58 tahun. Karena itu harus ada keseragaman soal itu,"" sambung dia. Agtas menjelaskan, terkait tugas pertahanan, tidak ada yang berubah dari RUU TNI. Sebab, kata dia, pertahanan juga mencakup ancaman siber. ""Karena itu juga harus disesuaikan ya, dan yang lebih penting adalah kekhawatiran menyangkut soal dwifungsi ABRI ataupun dwifungsi TNI kan tidak terjadi,"" ucap Agtas. Saat ditanya apakah RUU TNI akan disahkan pada rapat paripurna DPR Kamis (20/3/2025) besok, Agtas mengaku tidak tahu. Dia berdalih DPR yang tahu kapan jadwal pengesahan RUU TNI. ""Saya belum tahu, saya belum dapat informasi apakah besok atau tidak,"" kata dia.",
54793,"KPK Digugat Kakak Rafael Alun, Jubir Pastikan Penyitaan Harta Kekayaan Sesuai Prosedur",18 Oktober 2024 | 09.50 WIB,"Baca berita dengan sedikit iklan,  klik di sini  TEMPO.CO, Jakarta - Juru bicara Komisi Pemberantasan Korupsi (KPK) Tessa Mahardhika Sugiarto menyebut penyitaan harta kekayaan Rafael Alun Trisambodo telah sesuai dengan prosedur penindakan. KPK juga memastikan kekayaan Rafael yang disita negara itu memang hasil dari perbuatan tindak pidana korupsi.   Baca berita dengan sedikit iklan,  klik di sini  ""KPK berkeyakinan bahwa proses penyidikan termasuk di dalamnya penyitaan sudah melalui Prosedur yang berlaku"" ucap Tessa kepada Tempo, Jumat, 18 Oktober 2024.   Scroll ke bawah untuk melanjutkan membaca   Baca berita dengan sedikit iklan,  klik di sini  Rafael Alun Trisambodo merupakan mantan pejabat di lingkungan Direktorat Jenderal Pajak Kementerian Keuangan. Ia tersandung perkara korupsi dan tindak pidana pencucian uang. Pengadilan menjatuhkan hukuman 14 tahun penjara.   Kasus Rafael Alun terbongkar setelah anaknya, Mario Dandy Satrio, menganiaya David Ozora Latumahina, putra salah satu pengurus GP Ansor. Publik yang perhatian pada kasus tersebut lalu menelusuri latar belakang Mario Dandy dan membongkar kejanggalan harta kekayaan Rafael Alun.   Rafael Alun terbukti melanggar Pasal 12 B juncto Pasal 18 Undang-Undang RI Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi jo. Pasal 55 ayat (1) Ke-1 KUHP jo. Pasal 64 ayat (1) KUHP. Selain itu, dia juga dinyatakan melanggar Pasal 3 ayat (1) huruf a dan c Undang-Undang RI Nomor 15 Tahun 2002 tentang TPPU jo. Pasal 55 ayat (1) Ke-1 KUHP jo. Pasal 64 ayat (1) KUHP, serta Pasal 3 Undang-Undang RI Nomor 8 Tahun 2010 tentang Pencegahan dan Pemberantasan TPPU jo. Pasal 55 ayat (1) Ke-1 KUHP jo. Pasal 64 ayat (1) KUHP.  Atas perbuatannya, hakim memerintahkan Rafael mengembalikan uang hasil pencucian uang itu sebesar Rp 10 miliar ($644.000) ke kas negara. Aset-asetnya bakal disita dan hukuman penjaranya akan ditambah tiga tahun lagi. Pembayaran kembali harus dilakukan dalam waktu satu bulan setelah putusannya dinyatakan final dan mengikat.  Namun, kakak dan adik Rafael mengatakan aset-aset yang disita KPK adalah milik keluarga. Untuk itu mereka memohon aset-aset tersebut dikembalikan. Kakak dan adik Rafael Alun juga mengajukan keberatan atas perampasan aset mereka oleh Komisi Pemberantasan Korupsi (KPK). Keberatan itu diajukan melalui gugatan Pengadilan Negeri Jakarta Pusat, Kamis, 17 Oktober 2024. Pilihan Editor: Jokowi Teken Perpres Baru untuk Pembentukan Korps Pemberantasan Korupsi Polri",
32554,"Tinjau Banjir Rob di Muara Angke, Pj Gubernur DKI Jakarta Salurkan Bantuan Bahan Pokok",18 November 2024," KOMPAS.com - Penjabat (Pj) Gubernur Daerah Khusus Ibukota (DKI) Jakarta Teguh Setyabudi memberikan bantuan berupa bahan pokok kepada warga Kawasan Muara Angke yang terdampak musibah banjir rob. Bantuan tersebut disalurkan dalam agenda peninjauan banjir rob di Kawasan Muara Angke, Kecamatan Penjaringan, Jakarta Utara, Senin (18/11/2024). Teguh mengungkapkan bahwa Pemerintah Provinsi (Pemprov) DKI Jakarta tengah melakukan berbagai upaya untuk mengangani genangan air rob melalui pemetaan lokasi banjir. ""Kemarin sudah lihat beberapa area di sekitar pantai, sekarang kita melihat di area Muara Angke ini. Tadi sudah bicara dengan Pak rukun warga (RW) dan Pak rukun tetangga (RT) untuk dicarikan solusinya,"" katanya dalam keterangan tertulis, Senin. Selain itu, Teguh juga telah meminta Wali Kota Jakarta Utara Ali Maulana dan seluruh Organisasi Perangkat Daerah (OPD) di lingkungan Pemprov DKI Jakarta untuk rutin memantau kondisi di lapangan. ""Kami juga terus berkoordinasi dalam menangani permasalahan ini bersama, baik itu lintas OPD, Sekretaris Daerah (Sekda) DKI Jakarta, Dinas Sosial, Badan Penanggulangan Bencana Daerah (BPBD), dan Wali Kota Jakarta Utara,"" ungkapnya. Teguh menginstruksikan seluruh jajaran Pemprov DKI Jakarta untuk memastikan aliran air yang tergenang dapat surut dalam waktu singkat serta mempercepat pembangunan tanggul pada 2025. “Pemprov DKI Jakarta berupaya untuk mempercepat pembangunan tanggul pantai yang saat ini masih dalam pengerjaan, (tersisa) empat kilometer lagi,” ujarnya. Perlu diketahui, banjir rob tersebut terjadi pukul 09.00 Waktu Indonesia Barat (WIB) dan surut pada Jumat (15/11/2024), pukul 12:00 Waktu Indonesia Barat (WIB). Namun, banjir rob kembali menggenangi area tersebut di hari berikutnya pada waktu yang sama.",
43108,"Langgar Gencatan Senjata, Israel Tembak Mati 5 Warga Palestina di Gaza",14 Oktober 2025 | 18.19 WIB,"Baca berita dengan sedikit iklan,  klik di sini  PASUKAN Israel (IDF) mengakui pasukannya menembaki warga Palestina, menewaskan lima orang di Gaza seperti dilansir ABC News dan Al Jazeera pada Selasa 14 Oktober 2025, sebuah pelanggaran gencatan senjata yang baru disepakati akhir pekan lalu.  Baca berita dengan sedikit iklan,  klik di sini  IDF mengklaim bahwa ""beberapa orang melintasi garis kuning dan mendekati pasukan IDF yang beroperasi di Jalur Gaza utara, yang merupakan pelanggaran perjanjian.""  Scroll ke bawah untuk melanjutkan membaca   Baca berita dengan sedikit iklan,  klik di sini  Kelima warga Palestina tersebut mendekati pasukan di lingkungan Shejaiya di timur Kota Gaza, klaim IDF. ""Setelah beberapa kali mencoba menjauhkan mereka, para tersangka menolak untuk patuh, yang mendorong pasukan untuk melepaskan tembakan guna meredakan ancaman,"" kata IDF di media sosial. Seorang juru bicara Pertahanan Sipil Palestina membantah klaim IDF, mengatakan kepada ABC News bahwa kelima orang tersebut tewas di dalam area kuning zona aman. Sumber dari Layanan Darurat Gaza juga mengatakan sejumlah warga Palestina yang tidak disebutkan jumlahnya terluka akibat tembakan tentara Israel di daerah Halawa, Jabalia. Sementara itu, bentrokan sengit terus terjadi Selasa pagi di sebelah timur Jabalia, di Gaza utara, lapor media Palestina. Pertempuran tersebut dilaporkan melibatkan pasukan keamanan yang berafiliasi dengan Kementerian Dalam Negeri Hamas dan kelompok-kelompok bersenjata yang diduga didukung oleh Israel. Solusi Dua Negara Meskipun serangan Israel terus berlanjut, Presiden Amerika Serikat Donald Trump mengatakan perjanjian gencatan senjata Gaza akan membawa ""perdamaian abadi"" ke Timur Tengah. Namun, Trump pada Senin menghindari pembahasan mengenai dukungan terhadap solusi dua negara untuk konflik Israel-Palestina, dengan mengatakan bahwa fokusnya saat ini adalah membangun kembali Jalur Gaza. “Saya sedang membicarakan hal yang berbeda. Kami berbicara tentang pembangunan kembali Gaza,” kata Trump kepada wartawan di pesawat kepresidenan Air Force One saat dalam perjalanan pulang dari Mesir seperti dikutip Antara. Pernyataan itu disampaikan ketika Trump diminta menanggapi komentar Presiden Mesir Abdel Fattah al-Sisi yang menyerukan solusi dua negara dan pembentukan negara Palestina merdeka. “Saya tidak berbicara soal satu negara atau dua negara. Kami berbicara tentang pembangunan kembali Gaza,” ujar Trump. Sebelumnya pada hari yang sama, Trump dan Sisi memimpin KTT di Sharm el-Sheikh, Mesir, yang dihadiri lebih dari 20 pemimpin dunia untuk menandatangani perjanjian gencatan senjata Gaza. “Banyak orang menyukai solusi satu negara, sebagian lainnya mendukung dua negara. Kita lihat saja nanti. Saya belum memberi komentar soal itu,” kata Trump, seraya menambahkan bahwa ia akan berkoordinasi dengan sejumlah negara terkait rencana masa depan bagi Gaza. Pilihan Editor: Hotel di Singapura Tolak Jadi Tuan Rumah Makan Malam ""Teman Israel""",
